"IP Address","Port","Transport","Service","Operating System","Country","Country Code","City","Longitude","Latitude","Ransom Letter"
"181.117.240.8",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.14393)","Argentina","AR","Villa Sarmiento",-58.57047,-34.63364,"Hi!
Your unique ID is:
M6sFGoLVu8znqmOip2 Pyxqnl6Jj9x-3arLcsQm2Doplatishilidrochishfear.pw
All your files are encrypted and to solve it need to pay
Before payment I can decrypt 1-2 small examples as proof to show you thats working
My mail is platishilidrochishfear.pw
Also I have a Jabber LIVE MESSENGER if you want to solve it all fast
How to install and use
https:pidgin.iminstall
Download and install it on your server
Open Pidgin
Press Add
Choose protocol - must be XMPP
In Usemame - choose your unique login
In domain put this - yax.im
Resource - Work
Password - Choose your own password
Check mark on remember password
Also check mark on CREATE THIS NEW ACCOUNT ON THE SERVER
After it will ask your credentials put them again
Press on Buddies buttom
Add a buddy, field with buddy username write - platishilidrochishyax.im
press add
Press Buddies - New instant message and put there this - platishilidrochishyax.im
Press ok and write me a message"
"190.15.197.146",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.14393)","Argentina","AR","Godoy Cruz",-68.84428,-32.92533,"Your computer is encrypted
We encrypted and stolen all of your files.
Open HowToRecover.txt and follow the instructions to recover your files.
Your ID: 331A222BBF16BA80A6D27C4CC2FA8890"
"186.129.97.43",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.19041)","Argentina","AR","Haedo",-58.59212,-34.64239,"Encrypted by BlackBit
All your files have been encrypted due to a security problem with your computer
If you want to restore them, write us to the e-mail: suppblackbitgmail.com
Write this ID in the title of your message: C055A248
In case of no answer in 24 hours write us to this e-mail: suppblackbitonionmail.org"
"200.24.249.56",3389,"tcp","Remote Desktop Protocol",NA,"Argentina","AR","Comodoro Rivadavia",-67.494,-45.86256,"Encrypted by Loki locker
All your files have been encrypted due to a security problem with your computer
If you want to restore them, write us to the e-mail: Zxulansisonionmail.org
Write this ID in the title of your message: CAF4BEA6
In case of no answer in 24 hours write us to this e-mail: Zxulansismailfence.com"
"186.189.229.8",3389,"tcp","Remote Desktop Protocol","Windows Server 2012 R2","Argentina","AR","Buenos Aires",-58.37723,-34.61315,"Encrypted by Loki locker
All your files have been encrypted due to a security problem with your computer
If you want to restore them, write us to the e-mail: Zxulansisonionmail.org
Write this ID in the title of your message: 86C30668
In case of no answer in 24 hours write us to this e-mail: Zxulansismailfence.com
Aceptar
am Windows Server 2012R2"
"88.201.39.47",3389,"tcp","Remote Desktop Protocol","Windows Server 2012 R2","Bahrain","BH","Manama",50.58565,26.22787,"Your computer is encrypted
We encrypted and stolen all of your files.
Open HowToRecover.txt and follow the instructions to recover your files.
Your ID: 1A5D047BE8B81B83A6D27CACC2FA8890
gm Windows Server 2012 R2"
"103.26.136.196",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.19041)","Bangladesh","BD","Dhaka",90.40744,23.7104,"Email : freeworld7001gmail.com
Encryption Number :
TRGBgCL gEv7cS5U730jjru2G-94zBOUO8NkmfvMVXQunbreakable
We Encrypted Your System. Pay If You Want Your Information. Send Me Your ID
Address After Contacting Us"
"86.57.216.114",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.19041)","Belarus","BY","Brest",23.68775,52.09755,"SHAVELPUSSY RANSOMWARE!
Hi!
Have a troubles2
Your personal ID: djupA2qOR-
elVBOTXab6q9qACskvLTIrWEpS 1SQUGUPTOpussylikeashavel-djupA2qOR-
elVBOTXa6q9qACskvLTrWEpS 1SQUGUPTO
We will solve your problem but you need to pay to get your files back
I will show you all possible proofs before payment
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent
data loss.
We are always ready to cooperate and find the best way to solve your problem.
If you write in 24h you will have a good discount
Write us
1)Session Private Messenger
You can download it to chat with us
On your server,pc or laptop - getsession.orgdownload
Install it and press PLUS
Write new message
Put there my SESSION ID
0568a6df0e0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
Also you can install this messenger on your phone
SESSION at GOOGLE PLAYAPPSTORE
Install it and add me
0568a6df0e0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
2) TOX messenger (fast and anonymous)
https:tox.chatfdownload.html
Install qtox
Press sign up
Create your own name
nw"
"179.127.27.199",3389,"tcp","Remote Desktop Protocol","Windows Server 2022 (build 10.0.20348)","Brazil","BR","São Paulo",-46.63611,-23.5475,"Your data is encrypted
(Do not scan the files with antivirus in any case. In case of data loss, the
consequences are yours)
Your personal ID:
QAE;jYL82Nc22QHLF5cbZLDCFkOVomAXRewlh2d4TVwFollowme
If you want to recover your files, write us to this e-mail:
yourdatacustodianonionmail.com
yOurdatacustodiancyberfear.com
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent
data loss.
We are always ready to cooperate and find the best way to solve your problem.
The faster you write - the more favorable conditions will be for you.
Our company values its reputation. We give all guarantees of your files decryption."
"168.196.133.194",3389,"tcp","Remote Desktop Protocol","Windows Server 2012","Brazil","BR","Itajaí",-48.66194,-26.90778,"Encrypted by Loki locker
All your files have been encrypted due to a security problem with your computer
If you want to restore them, write us to the e-mail: zxulansisonionmail.org
Write this ID in the title of your message: 98FF8EA2
In case of no answer in 24 hours write us to this e-mail: companyadvancmailfence.com
gt Windows Server 2012"
